"A coupon code has been sent to %1.","A coupon code has been sent to %1."
"A coupon code has been generated.","A coupon code has been generated."
"Something went wrong while send coupon code. Please review the error log.","Something went wrong while send coupon code. Please review the error log."
"The rule limit number coupons were generated for email %1.","The rule limit number coupons were generated for email %1."
"Did not found the coupon rule.","Did not found the coupon rule."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Not found coupon rule to generate code. Please review the error log.","Not found coupon rule to generate code. Please review the error log."
"Something went wrong while generate coupon code. Please review the error log.","Something went wrong while generate coupon code. Please review the error log."
"Import Coupons","Import Coupons"
"Can't import data<br/> %1","Can't import data<br/> %1"
"Import successfully","Import successfully"
"Required there columns: code and rule_id","Required there columns: code and rule_id"
"This Coupon log no longer exists.","This Coupon log no longer exists."
"Edit Coupon Logs","Edit Coupon Logs"
"New Coupon Logs","New Coupon Logs"
"Coupons Logs","Coupons Logs"
"Coupon Code Logs","Coupon Code Logs"
"Logs Coupon Code","Logs Coupon Code"
Reports,Reports
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>."
Sales,Sales
"Sales By Coupon","Sales By Coupon"
"You deleted the rule.","You deleted the rule."
"We can't find a rule to delete.","We can't find a rule to delete."
"This Rule no longer exists.","This Rule no longer exists."
Rules,Rules
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"The wrong rule is specified.","The wrong rule is specified."
"You saved the Rule.","You saved the Rule."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"My Coupons","My Coupons"
"A coupon was generated for the account before.","A coupon was generated for the account before."
"Rule is not exists.","Rule is not exists."
"Missing rule id and email address.","Missing rule id and email address."
"You received a coupon code:","You received a coupon code:"
"We can not generate coupon code for you.","We can not generate coupon code for you."
"Sales Info","Sales Info"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Total Sales","Total Sales"
"Total Orders","Total Orders"
"Total Reviews","Total Reviews"
"Customer Behavior","Customer Behavior"
"Customer Attribute","Customer Attribute"
Name,Name
Phone,Phone
ZIP,ZIP
Country,Country
State/Province,State/Province
"Customer Since","Customer Since"
"Confirmed Email","Confirmed Email"
"Account Created in","Account Created in"
"Billing Address","Billing Address"
"Shipping Address","Shipping Address"
"Date of Birth","Date of Birth"
"Date of Birth from","Date of Birth from"
"Date of Birth to","Date of Birth to"
"Tax VAT Number","Tax VAT Number"
Gender,Gender
"Street Address","Street Address"
City,City
Fax,Fax
"VAT Number","VAT Number"
Company,Company
"Billing Firstname","Billing Firstname"
"Billing Lastname","Billing Lastname"
"Base Coupon Code Generation template (Default)","Base Coupon Code Generation template (Default)"
"-- Please Select A Rule --","-- Please Select A Rule --"
"-- Please select static block --","-- Please select static block --"
"Discount (%1)","Discount (%1)"
Enabled,Enabled
Disabled,Disabled
Rating,Rating
Poisition,Poisition
Alphanumberic,Alphanumberic
Alphabetical,Alphabetical
Numberic,Numberic
Days,Days
Weeks,Weeks
Months,Months
years,years
"End Date must follow Start Date.","End Date must follow Start Date."
"Total Items Quantity","Total Items Quantity"
"Total Weight","Total Weight"
"Payment Method","Payment Method"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Shipping Country","Shipping Country"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
"Item totals are not set for the rule.","Item totals are not set for the rule."
"All Store Views","All Store Views"
Edit,Edit
View,View
"Qr Code img","Qr Code img"
"Grid Record","Grid Record"
#,#
"grid records not available.","grid records not available."
"Sales order and coupon code detail","Sales order and coupon code detail"
"Created Date","Created Date"
"The tracking code do not exists. We can not found result!","The tracking code do not exists. We can not found result!"
"Get Coupon Code","Get Coupon Code"
Getting...,Getting...
